,name,proba (%),box off,box def,box total,onoff off,onoff def,onoff total,raptor off,raptor def,raptor total,war
70,Wendell Carter Jr.,3.5000000000000004,-0.8,1.7,0.9,1.5,2.5,4.0,-0.3,2.0,1.7,2.6
71,Shai Gilgeous-Alexander,4.7,1.4,-0.8,0.6,2.1,-1.3,0.8,1.8,-0.9,0.9,2.6
72,Evan Mobley,1.7999999999999998,-1.7,3.3,1.6,-3.9,3.5,-0.5,-2.3,3.4,1.1,2.6
73,Bobby Portis,4.3999999999999995,0.2,1.4,1.6,1.3,1.0,2.3,0.4,1.3,1.8,2.6
74,P.J. Tucker,3.9,-0.2,1.6,1.4,1.2,1.4,2.7,0.0,1.7,1.7,2.6
75,Kenrich Williams,6.2,-0.3,2.5,2.2,0.1,9.1,9.2,-0.1,4.0,3.9,2.6
76,Deni Avdija,2.7,-1.4,3.3,1.9,-0.3,1.3,1.0,-1.3,3.1,1.9,2.5
77,Josh Hart,5.4,1.3,0.2,1.5,2.9,-2.5,0.4,1.7,-0.3,1.4,2.5
78,Damian Lillard,11.0,4.2,-2.3,1.9,2.8,-2.1,0.7,4.2,-2.4,1.8,2.5
79,Khris Middleton,6.2,2.6,-1.1,1.5,0.2,0.6,0.8,2.2,-0.9,1.4,2.5
80,Kristaps Porzingis,6.3,1.6,1.3,2.9,-0.2,0.2,0.0,1.4,1.1,2.4,2.5
81,Pat Connaughton,3.5000000000000004,1.1,1.4,2.5,-1.3,-4.1,-5.4,0.6,0.3,0.9,2.4
82,Seth Curry,4.6,1.4,-1.1,0.4,2.9,-1.4,1.5,1.8,-1.2,0.6,2.4
83,Chris Duarte,3.8,-0.2,0.7,0.5,2.1,2.6,4.7,0.3,1.2,1.4,2.4
84,Al Horford,2.3,-1.2,3.4,2.1,-1.8,-0.2,-1.9,-1.4,2.8,1.4,2.4
85,Lauri Markkanen,5.800000000000001,0.7,0.2,0.9,6.2,-2.6,3.6,1.9,-0.4,1.4,2.4
86,CJ McCollum,7.1,2.1,0.0,2.1,2.3,-1.4,0.9,2.3,-0.2,2.0,2.4
87,Karl-Anthony Towns,5.7,1.5,-1.2,0.3,5.8,-3.4,2.4,2.5,-1.8,0.7,2.4
88,Franz Wagner,2.9000000000000004,-0.4,0.1,-0.3,3.2,-1.0,2.3,0.4,-0.1,0.3,2.4
89,Anthony Davis,3.9,1.0,1.9,2.8,-3.1,0.6,-2.5,0.2,1.7,1.9,2.3
90,Blake Griffin,4.1000000000000005,-1.5,6.8,5.3,-1.5,-0.2,-1.7,-1.6,5.7,4.1,2.3
91,Buddy Hield,3.5000000000000004,1.8,-0.8,1.0,-1.5,-0.9,-2.4,1.2,-0.8,0.4,2.3
92,Zach LaVine,6.3,3.3,-2.0,1.3,1.2,-2.7,-1.5,3.0,-2.3,0.7,2.3
93,Robert Williams III,3.5999999999999996,-0.1,1.2,1.1,1.3,1.5,2.8,0.1,1.3,1.4,2.3
94,LaMarcus Aldridge,6.5,0.5,2.3,2.8,3.5,-0.6,2.9,1.1,1.8,2.9,2.2
95,Malcolm Brogdon,6.9,2.6,-0.7,1.9,0.4,1.3,1.8,2.3,-0.3,2.0,2.2
96,George Hill,3.8,-0.9,0.0,-0.9,3.6,8.3,11.8,0.0,1.7,1.7,2.2
97,De'Anthony Melton,4.0,0.1,1.7,1.8,0.6,1.6,2.2,0.2,1.8,2.0,2.2
98,Mitchell Robinson,4.0,0.5,1.7,2.2,1.8,-4.2,-2.4,0.8,0.6,1.4,2.2
99,Deandre Ayton,3.3000000000000003,-0.5,4.0,3.4,-0.3,-3.1,-3.3,-0.6,2.7,2.1,2.1
100,Jordan Clarkson,4.3,1.8,-1.7,0.2,0.5,2.7,3.2,1.5,-0.9,0.7,2.1
101,Tyler Herro,5.5,2.5,-1.7,0.7,2.9,-2.9,0.0,2.7,-2.1,0.6,2.1
102,Pascal Siakam,3.3000000000000003,0.0,0.1,0.1,2.2,1.4,3.6,0.5,0.4,0.9,2.1
103,JaVale McGee,5.7,0.9,2.8,3.6,-0.1,0.6,0.5,0.6,2.4,3.0,2.0
104,Malik Monk,4.2,1.0,-0.9,0.1,2.9,0.6,3.5,1.4,-0.6,0.8,2.0
105,Max Strus,7.3,2.5,-1.2,1.3,2.7,1.0,3.7,2.7,-0.9,1.8,2.0
106,Matisse Thybulle,1.7999999999999998,-2.6,4.8,2.2,-2.1,2.6,0.5,-2.6,4.6,2.0,2.0
107,Grayson Allen,3.0,0.7,-0.3,0.4,0.0,0.9,0.9,0.6,-0.1,0.5,1.9
108,Scottie Barnes,2.4,0.5,0.4,1.0,-1.1,-2.1,-3.1,0.2,-0.1,0.2,1.9
109,Monte Morris,3.5000000000000004,0.0,-1.6,-1.6,6.4,1.0,7.4,1.3,-1.2,0.2,1.9
110,Kelly Oubre Jr.,3.4000000000000004,1.4,-1.0,0.4,0.5,-0.7,-0.2,1.2,-0.9,0.3,1.9
111,Harrison Barnes,2.9000000000000004,1.7,-0.6,1.1,0.4,-6.9,-6.4,1.6,-1.9,-0.3,1.8
112,Nicolas Batum,2.4,-0.7,3.2,2.5,-4.5,4.0,-0.5,-1.5,3.6,2.0,1.8
113,Robert Covington,1.4000000000000001,-1.9,2.0,0.1,-0.9,0.8,0.0,-1.8,1.9,0.1,1.8
114,Caris LeVert,5.800000000000001,2.1,-1.4,0.6,4.3,-2.3,2.0,2.7,-1.7,1.0,1.8
115,Kevon Looney,2.6,-1.5,2.3,0.8,4.3,-2.2,2.1,-0.4,1.4,1.0,1.8
116,Myles Turner,1.7000000000000002,-1.2,1.3,0.0,0.4,-0.3,0.1,-1.0,1.0,0.0,1.8
